JUGADOR;POS;PJ;PI;MIN;PTS;RB;TP;AS;TC;T3;TL;BR;BP;FP;EF;OR;DR;v;Derrota;PF;PC;Equipo;Edad;Altura;FGM;FGA;FTM;FTA;;;;;;;;;;;;;
A. White;ES/AL;15;0;13,9;4,6;2,3;0,1;0,4;0,34;0,37;0,25;0,2;0,5;0,8;3,6;0,3;2;24;58;103,4;108,8;ATL;25;200,66;1,7;4,9;0,1;0,3;;;;;;;;;;;;;
M. Plumlee;P;55;35;16,7;4,3;4,1;0,5;0,8;0,58;0,00;0,45;0,3;1,1;1,4;7;1,2;2,1;24;58;103,4;108,8;ATL;29;210,82;1,9;3,3;0,5;1,1;;;;;;;;;;;;;
A. Cleveland;ES;4;0;10,5;3,3;1;0,3;0;0,57;1,00;1,00;0,3;1,3;3;2,8;0,1;0,9;24;58;103,4;108,8;ATL;24;198,12;1;1,8;0,5;0,5;;;;;;;;;;;;;
J. Magette;B;18;0;12;2,6;1,1;0,1;3,2;0,33;0,36;1,00;0,4;0,5;0,9;5,1;0,3;0,8;24;58;103,4;108,8;ATL;28;185,42;0,8;2,6;0,4;0,4;;;;;;;;;;;;;
J. Evans;AL/AP;1;0;5;2;1;0;0;1,00;0,00;0,00;0;1;1;2;1;0;24;58;103,4;108,8;ATL;30;205,74;1;1;0;0;;;;;;;;;;;;;
N. Brussino;ES/AL;4;0;2,5;0;0,8;0;0;0,00;0,00;0,00;0;0;0;0,3;0;0,8;24;58;103,4;108,8;ATL;25;203,2;0;0,5;0;0;;;;;;;;;;;;;
K. Irving;B/ES;60;60;32,2;24,4;3,8;3,8;5,1;0,49;0,41;0,89;1,1;2,3;2;22,7;0,6;3,2;55;27;104;100,4;BOS;26;190,5;8,9;18,1;3,9;4,4;;;;;;;;;;;;;
J. Brown;ES/AL;70;70;30,7;14,5;4,9;4,9;1,6;0,47;0,40;0,64;1;1,8;2,6;13,4;0,9;4;55;27;104;100,4;BOS;21;200,66;5,3;11,5;2,1;3,3;;;;;;;;;;;;;
J. Tatum;AL/AP;80;80;30,5;13,9;5;5;1,6;0,48;0,43;0,83;1;1,4;2,1;14,8;0,6;4,4;55;27;104;100,4;BOS;20;203,2;5;10,4;2,7;3,2;;;;;;;;;;;;;
M. Morris;AL/AP;54;21;26,7;13,6;5,4;5,4;1,3;0,43;0,37;0,81;0,6;1,2;1,9;12,9;0,8;4,6;55;27;104;100,4;BOS;28;205,74;4,9;11,3;2,3;2,9;;;;;;;;;;;;;
A. Horford;P/AP;72;72;31,6;12,9;7,4;7,4;4,7;0,49;0,43;0,78;0,6;1,8;1,9;19,1;1,4;5,9;55;27;104;100,4;BOS;32;208,28;5,1;10,5;1,3;1,7;;;;;;;;;;;;;
T. Rozier;B/ES;80;16;25,9;11,3;4,7;4,7;2,9;0,40;0,38;0,77;1;1;1,5;12,6;0,8;3,9;55;27;104;100,4;BOS;24;187,96;4;10;1,4;1,9;;;;;;;;;;;;;
